Customer Remarks,CSAT Score,cleaned_remarks
Ensure ease in reaching customer support and make sure that you call us back when you send message that you will call in 3-5 min dont make customer beg for your call ,4,ensure ease reaching customer support make sure call us back send message call 3 5 min dont make customer beg call
V nice ??,5,v nice
"u have a very poor performance regarding reaching the needs of customer, the worst experience of my life. Even the customer executive have poor etiquette and no prior information for customer to inform them I will make sure people who I know will never shop from Shopzilla ",1,u poor performance regarding reaching needs customer worst experience life even customer executive poor etiquette no prior information customer inform make sure people know never shop shopzilla
Very nice ,5,nice
Thnx so much mam ,5,thnx much mam
You are very good and support ,5,good support
Talking with happy ,5,talking happy
Na,5,na
As per customer support experience i am really very very happy that Shopzilla service person are very helpful to resolve customer issue. Thank you Shopzilla,5,per customer support experience really happy shopzilla service person helpful resolve customer issue thank shopzilla
It was first time for me to talk to a  issue solver CCE. I am so happy.,5,first time talk issue solver cce happy
"The Customer Care Executive was very professional, with sound knowledge of the product,services and policies. She understood my query in one go and provided the required solution. I really appreciate her time & effort, and thanks to Shopzilla to have such amazing people in their team.",5,customer care executive professional sound knowledge product services policies understood query one go provided required solution really appreciate time effort thanks shopzilla amazing people team
"Customer support is very good,I like it",5,customer support good like
Why soft copy of invoice is not being made available in the app itself?? I am unable to find it. The customer support Executive told it has been mailed to my registered email address but haven't received it yet!! ,5,soft copy invoice not made available app unable find customer support executive told mailed registered email address received yet
Better,5,better
Thank for dear ,5,thank dear
Good ,3,good
My product is not working which I have purchased from you and I need the service centre details but you are having the details how to repair my product and the product is life care product which is nebulizer for the life saver,5,product not working purchased need service centre details details repair product product life care product nebulizer life saver
EXCELLENT,5,excellent
Very nice toking and solve my problem ,5,nice toking solve problem
Good ,4,good
Make cheng able dilevery timeAnd date ,4,make cheng able dilevery timeand date
Excellent support from representative ,5,excellent support representative
"Mere Mobile problem   jald solve karne   kare, ",5,mere mobile problem jald solve karne kare
Very nice,5,nice
Very good service ,5,good service
Pls call back since the call got cut and the issue raised during my call was not resolved ,2,pls call back since call got cut issue raised call not resolved
So bad service provider Shopzilla app Website mention different and product delivered differentAnd different product are many functions missing ,1,bad service provider shopzilla app website mention different product delivered differentand different product many functions missing
Very good ??,5,good
Thx sir,5,thx sir
Great team you have ??,5,great team
Delivery date booking  e samay bataye ,5,delivery date booking e samay bataye
Thanks ,5,thanks
"I tried to contact customer support for the same query for at least 6-7 times. Nobody is able to give proper information and resolve my issue. Such a worse experience. Lack of knowledge and fake assurance was given by support staff. On my last phone call she assured me to provide customer care number on text message and as I said everything is about fake assurance. I didn\u2019t get the number and proper service as well. Overall very bad, inconvenient and worse experience ever by customer support.",1,tried contact customer support query least 6 7 times nobody able give proper information resolve issue worse experience lack knowledge fake assurance given support staff last phone call assured provide customer care number text message said everything fake assurance u2019t get number proper service well overall bad inconvenient worse experience ever customer support
